,From,To
0,CFC8_t164,CFC8_t165
1,F2_t35,FC3_t36
2,CP2_t113,CP2_t114
3,AF4_t250,FC1_t251
4,Pz_t158,Pz_t159
5,P3_t71,CP3_t72
6,PO2_t331,PO2_t332
7,FCz_t58,FCz_t59
8,CCP5_t271,CCP5_t272
9,P6_t273,FC1_t274
10,CP4_t293,CP4_t294
11,CP2_t225,CP2_t226
12,P2_t65,P2_t66
13,C6_t283,F3_t284
14,Cz_t174,CFC1_t175
15,CFC6_t189,CFC6_t190
16,P4_t28,CP1_t29
17,CP3_t364,CFC8_t365
18,CP4_t319,C1_t320
19,T8_t385,T8_t386
20,CP1_t25,FC6_t26
21,CFC7_t267,CFC7_t268
22,F6_t212,F6_t213
23,CCP4_t26,C3_t27
24,CFC5_t82,CFC6_t83
25,FC4_t287,CP5_t288
26,P5_t32,C5_t33
27,Cz_t184,FC3_t185
28,AF4_t121,AF4_t122
29,CFC8_t281,O2_t282
30,CP1_t310,T8_t311
31,C2_t360,C2_t361
32,C1_t151,C1_t152
33,FC3_t383,CFC6_t384
34,P4_t330,CCP1_t331
35,CP6_t206,F3_t207
36,FC6_t208,FC6_t209
37,C5_t249,CP6_t250
38,F4_t192,FCz_t193
39,CFC2_t361,CFC2_t362
40,CFC4_t53,CFC4_t54
41,C3_t382,C3_t383
42,CP3_t45,P3_t46
43,FC1_t57,C4_t58
44,P2_t60,P2_t61
45,C6_t283,P6_t284
46,CFC8_t22,CFC8_t23
47,FC6_t244,PO2_t245
48,FC6_t240,C4_t241
49,AF3_t367,F3_t368
50,Pz_t4,Pz_t5
51,CP5_t10,C6_t11
52,PO2_t61,PO2_t62
53,CP1_t273,FC4_t274
54,CFC8_t354,AF4_t355
55,CCP7_t156,CCP7_t157
56,Cz_t143,Cz_t144
57,T8_t380,F4_t381
58,O2_t394,Pz_t395
59,P6_t209,P6_t210
60,CPz_t272,CCP4_t273
61,CCP2_t311,F2_t312
62,P2_t293,P2_t294
63,CP2_t143,CP2_t144
64,CP2_t270,FC1_t271
65,CP3_t373,CCP8_t374
66,F5_t187,CP6_t188
67,O2_t34,CCP1_t35
68,CCP2_t261,CCP2_t262
69,CFC3_t266,CFC3_t267
70,P2_t280,P2_t281
71,CP3_t290,P5_t291
72,F4_t381,CCP2_t382
73,F3_t54,F3_t55
74,FC6_t286,CCP2_t287
75,P5_t228,CP1_t229
76,F5_t325,F5_t326
77,CFC7_t40,CFC7_t41
78,CCP3_t279,CFC6_t280
79,C2_t285,C2_t286
80,PO1_t62,PO2_t63
81,CCP3_t242,CFC5_t243
82,CP2_t98,CP6_t99
83,CP6_t174,CCP5_t175
84,CCP5_t314,PO1_t315
85,AF4_t193,Pz_t194
86,CP5_t16,F4_t17
87,CP6_t213,P5_t214
88,F4_t78,FCz_t79
89,CFC5_t265,CCP8_t266
90,C3_t146,CCP8_t147
91,PO1_t55,CFC3_t56
92,T8_t303,CCP1_t304
93,CP4_t167,CP4_t168
94,CFC3_t317,FC3_t318
95,PO1_t207,CCP4_t208
96,FC2_t54,F6_t55
97,AF3_t115,CFC2_t116
98,CP5_t150,F5_t151
99,CP3_t363,CFC4_t364
100,P5_t332,CP6_t333
101,FC3_t343,FC6_t344
102,FC6_t115,C4_t116
103,CCP3_t82,FC5_t83
104,CPz_t83,CPz_t84
105,CPz_t330,P5_t331
106,FCz_t17,FCz_t18
107,CCP3_t144,CFC4_t145
108,T7_t175,T7_t176
109,Pz_t229,CCP2_t230
110,CFC1_t286,CFC1_t287
111,CCP2_t319,CCP2_t320
112,CCP2_t353,FC5_t354
113,P5_t310,P3_t311
114,FC4_t167,F4_t168
115,F2_t352,F1_t353
116,P1_t241,C5_t242
117,F2_t350,F2_t351
118,PO2_t87,PO2_t88
119,C2_t232,CFC6_t233
120,CCP1_t69,CCP1_t70
121,P6_t216,P6_t217
122,FC4_t340,FC4_t341
123,F5_t199,Fz_t200
124,CCP6_t211,CCP6_t212
125,P3_t200,P3_t201
126,CCP7_t181,T8_t182
127,CFC8_t327,FC5_t328
128,CFC3_t394,CCP4_t395
129,CFC1_t126,CFC1_t127
130,F5_t151,CP1_t152
131,O1_t341,O1_t342
132,PO1_t295,CFC3_t296
133,FC5_t243,FC5_t244
134,C4_t210,C4_t211
135,P5_t288,CCP5_t289
136,Pz_t356,CP1_t357
137,CFC2_t320,CFC2_t321
