From,To
CPz_t326,O2_t327
C4_t339,C4_t340
O2_t348,O2_t349
CFC6_t17,CFC6_t18
T7_t263,F4_t264
P4_t73,C4_t74
P1_t195,F1_t196
O2_t48,O2_t49
FC4_t20,F4_t21
CFC4_t248,CFC4_t249
Fz_t125,C1_t126
CFC5_t134,Pz_t135
FC4_t191,T7_t192
O1_t203,O1_t204
CP5_t283,C3_t284
FC2_t130,CP4_t131
CCP5_t183,CCP5_t184
FC6_t77,FC6_t78
CP5_t116,CFC5_t117
CFC3_t388,P1_t389
FC1_t366,FC6_t367
CFC4_t398,CFC4_t399
CFC8_t247,CFC8_t248
CCP3_t110,AF3_t111
C2_t258,P6_t259
CP2_t111,CFC6_t112
C2_t290,C2_t291
Fz_t127,C1_t128
CFC1_t195,CFC1_t196
P1_t196,FC2_t197
CP5_t51,CP5_t52
PO1_t107,PO1_t108
CP4_t396,CP4_t397
T7_t173,T8_t174
C5_t239,C5_t240
FC4_t67,Pz_t68
F1_t15,FC5_t16
FC6_t253,C2_t254
P2_t315,P2_t316
CFC5_t298,CFC5_t299
CCP7_t76,FCz_t77
C5_t241,FC4_t242
F1_t12,F1_t13
CFC8_t208,PO1_t209
CFC3_t56,CCP7_t57
C5_t337,CP5_t338
FCz_t227,FCz_t228
FC2_t314,FC2_t315
F3_t87,F3_t88
P1_t89,P1_t90
FCz_t138,CP6_t139
CFC7_t120,T8_t121
F6_t286,T7_t287
P1_t44,P1_t45
CPz_t65,CPz_t66
FC2_t196,F2_t197
CFC4_t132,CFC4_t133
CCP7_t197,AF4_t198
CP1_t374,Cz_t375
FC2_t106,FC2_t107
CFC7_t237,F2_t238
CFC1_t225,CFC1_t226
FC6_t324,CP6_t325
CCP1_t267,CCP1_t268
CFC3_t353,F4_t354
C5_t285,C5_t286
PO1_t119,PO1_t120
CP5_t265,CP5_t266
CP3_t273,CP3_t274
CP4_t36,CP5_t37
P5_t47,FC2_t48
CCP1_t260,CCP1_t261
Cz_t83,Cz_t84
CFC5_t48,CFC5_t49
P5_t202,O2_t203
CP1_t216,P3_t217
CP4_t90,CP4_t91
F1_t351,FC6_t352
PO1_t6,PO1_t7
F5_t20,Pz_t21
CCP3_t275,F2_t276
C2_t293,C2_t294
CFC5_t189,CFC5_t190
CFC2_t72,Pz_t73
CCP5_t291,CFC4_t292
CCP7_t111,CCP8_t112
C5_t250,P4_t251
CCP4_t357,F6_t358
CP6_t217,CP6_t218
Cz_t256,Fz_t257
CCP5_t397,CCP5_t398
FC6_t191,FC6_t192
T7_t291,C3_t292
T7_t234,CCP2_t235
C6_t283,CFC5_t284
O2_t356,O2_t357
CFC7_t252,CFC2_t253
CFC8_t206,CFC8_t207
PO1_t209,CCP1_t210
FC4_t64,AF3_t65
T8_t154,C4_t155
CP1_t308,F5_t309
P2_t202,Fz_t203
FC4_t222,FC4_t223
CCP6_t194,AF4_t195
T8_t201,P1_t202
C5_t268,AF3_t269
C3_t304,C3_t305
CP4_t231,F1_t232
CFC8_t12,CFC8_t13
AF3_t93,AF3_t94
AF4_t274,CP3_t275
CCP4_t365,C2_t366
FC4_t273,FC3_t274
CFC7_t301,C5_t302
CCP7_t185,CCP7_t186
P4_t227,CCP3_t228
CCP7_t339,C4_t340
